sk_shower,IAU_code,name
1,CAP,A-capricornids
2,ETA,E-aquariids
3,HYD,S-hydrids
4,GNO,G-normids
5,JPE,July Pegasids
6,URS,Ursids
7,PPU,P-puppids
8,LEO,Leonids
9,ELY,E-lyrids
10,DAU,D-aurigids
11,DRA,Draconids
12,PUP,Puppid-velids
13,STA,Southern Taurids
14,JBO,June Bootids
15,DLM,December Leonis Minorids
16,NOO,November Orionids
17,SPE,September E-perseids
18,SDA,Southern D-aquariids
19,ORI,Orionids
20,AUR,Aurigids
21,KCG,K-cygnids
22,EGE,E-geminids
23,GUM,G-ursae Minorid
24,ERI,E-eridanids
25,QUA,Quadrantids
26,ARI,Daytime Arietids
27,ANT,Antihelion Source
28,OCT,October Camelopardalids
29,TAH,T Herculids
30,DSX,Daytime Sextantids
31,LYR,Lyrids
32,NUE,N-eridanids
33,NTA,Northern Taurids
34,PAU,Piscis Austrinids
35,PER,Perseids
36,GEM,Geminids
37,COM,Comae Berenicids
38,LMI,Leonis Minorids
39,CCY,Kh-cygnids
40,MON,Monocerotids
41,ACE,A-centaurids
42,AMO,A-monocerotids
